,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
0,916223333,False,finalized,3,3/24/2016 12:03:43,affected_people,1.0,,'497086523184283648',#Ebola outbreak: Journalist who survived disease describes the horror of contracting it http://t.co/braEblfO41
1,916223718,False,finalized,3,3/24/2016 17:19:37,affected_people,0.6509999999999999,,'497086958347501570',RT @WLTX: #BREAKING: Second U.S. nurse with #Ebola will be taken to Emory Hospital in Atlanta for treatment
12,916224499,False,finalized,3,3/25/2016 08:27:27,affected_people,0.6777,,'497087870969339904',RT @FoxNews: More than 100 monitored for #Ebola symptoms in #Ohio: http://t.co/IYu3EiTEUQ
37,916223940,False,finalized,3,3/24/2016 17:22:05,affected_people,0.3398,,'497087227852095488',RT @femmeminem: wow! look at all of these white people infected with Ebola being flown out of Africa to expensive treatment in America and Ã¢â¬Â¦
50,916223331,False,finalized,3,3/24/2016 11:24:13,affected_people,1.0,,'497086520470536193',RT @hamletgarcia17: #Ebola patient was on a commercial flight the night before she reported her symptoms. Ã¢â¬ÅLow-GradeÃ¢â¬Â Fever  ÃÂ« http://t.co/Ã¢â¬Â¦
87,916223469,False,finalized,3,3/24/2016 11:51:31,affected_people,1.0,,'497086706382667776',"""@CityNews: #BREAKING: Brampton Civic Hospital treating patient who came from Africa with fever and other Ebola-like symptoms"" Game on"
93,916223662,False,finalized,3,3/24/2016 16:42:03,affected_people,1.0,,'497086900273164288',Just In: FG  Confirms Two More Nigerians With Ebola Virus Disease http://t.co/OrtPpr0C0v
111,916223828,False,finalized,3,3/24/2016 18:09:48,affected_people,0.6486,,'497087112202964992',Obama says the disease is not easy to catch yet medical workers are being infected and don't know how. #Ebola
120,916224837,False,finalized,3,3/25/2016 07:55:46,affected_people,0.6342,,'497088151132073985',RT @SilvanaSukoski: SCGH confirms a woman is being treated for Ebola like symptoms. The patient hasn't yet been diagnosed but the hospital Ã¢â¬Â¦
126,916223866,False,finalized,3,3/24/2016 17:07:19,affected_people,1.0,,'497087157815611392',"Well this is terrible. RT @latimes 2nd nurse tested positive for Ebola flew before reporting symptoms, http://t.co/DQkJu8k9Td #ebola #great"
131,916224207,False,finalized,3,3/24/2016 16:58:45,affected_people,0.6779,,'497087510468907008',RT @CBCAlerts: 2nd #Dallas #Ebola nurse had travelled by air a day before reporting symptoms. CDC tracking all 132 passengers: http://t.co/Ã¢â¬Â¦
143,916224654,False,finalized,3,3/25/2016 09:10:11,affected_people,0.7196,,'497088002280022017',Why do they keep moving the people with #Ebola all over the place? Valid question.
157,916223964,False,finalized,3,3/24/2016 16:09:39,affected_people,0.6627,,'497087248098414592',RT @newstalk1010: BREAKING: Reports suggest that Brampton Civic Hospital is treating one patient with 'ebola-like' symptoms. MORE TO COME
162,916223477,False,finalized,3,3/25/2016 09:20:18,affected_people,0.6757,,'497086718290706433',RT @realAustinYork: Waiting for Vinson to be moved and flown to Atlanta to begin her treatment #Ebola @KRLD @CBSDFW http://t.co/UvJk1EJCzL
168,916224985,False,finalized,3,3/25/2016 08:37:12,affected_people,1.0,,'497088267204825088',RT @ChannelsTV_NG: Breaking News: FG says two more Nigerians have been confirmed to have contacted the Ebola virus disease
173,916223969,False,finalized,3,3/24/2016 16:05:19,affected_people,0.7027,,'497087252439113729',RT @FoxNews: More than 100 monitored for #Ebola symptoms in #Ohio: http://t.co/IYu3EiTEUQ
176,916224539,False,finalized,3,3/25/2016 07:55:46,affected_people,0.6342,,'497087914804006912',#Breaking: One of the #Dallas health worker #Ebola patients will be transferred to #Emory for treatment - http://t.co/qH1PpcIeOg
196,916224283,False,finalized,3,3/24/2016 16:27:57,affected_people,0.6842,,'497087585194631169',RT @BBCNewsUS: Texas nurse Nina Pham meets President #Obama after release from hospital for #Ebola treatment http://t.co/ir3KpmERwQ http://Ã¢â¬Â¦
211,916223608,False,finalized,3,3/24/2016 12:40:47,affected_people,0.68,,'497086867926691841',RT @pablofoleyelias: Spanish priest with the #Ebola virus has arrived at Madrid's Carlos III hospital for treatment.Plane that brought him Ã¢â¬Â¦
214,916223937,False,finalized,3,3/25/2016 09:29:06,affected_people,0.6409999999999999,,'497087226195738624',"RT @KHOU: LATEST: CDC: 3rd Dallas #Ebola patient, a nurse, traveled by air before showing symptoms http://t.co/G2VSwx9sw3 #KHOU #FactsNotFeÃ¢â¬Â¦"
224,916224364,False,finalized,3,3/24/2016 16:51:47,affected_people,0.3603,,'497087679172202497',"Ebola Cases Could Reach 1.4 Million in 4 Months, C.D.C. Estimates: A report from the Centers for Disease Contr... http://t.co/j5LmAfmkPI"
235,916224449,False,finalized,3,3/24/2016 16:24:33,affected_people,1.0,,'497087797355110400',RT @Channels_TV: FG Says Two More Nigerians Have Been Confirmed With Ebola Virus Disease http://t.co/bhCUoJIeA4
252,916225009,False,finalized,3,3/25/2016 10:00:34,affected_people,0.6667,,'497088286058622976',RT @aqv21: Coming to AmericaÃ¢â¬Â¦ #Obama to Bring #Ebola-Infected Foreigners to US for Treatment http://t.co/lGwPuCOVHd #tcot #p2 http://t.co/wÃ¢â¬Â¦
255,916225109,False,finalized,3,3/25/2016 13:36:47,affected_people,0.6587,,'497088362273308672',"Family of Dallas patient zero, Thomas, to be out of quarantine Sunday; then 21 days with no symptoms of #Ebola http://t.co/WtheyUEwCJ"
266,916224182,False,finalized,3,3/24/2016 16:00:40,affected_people,0.6664,,'497087476448886784',Nina Pham's boyfriend has #Ebola symptoms amid rumors that 5 others are quarantined as well. Let the socialist misinformation campaign begin
275,916223640,False,finalized,3,3/24/2016 17:37:25,affected_people,0.6851,,'497086888260665345',Now first nurse had symptoms BEFORE fever under CDC guidelines. What the feezie? I'm not as scared of #ebola as I am ticked off at govt.
305,916224673,False,finalized,3,3/25/2016 11:14:08,affected_people,0.6543,,'497088015160721408',RT @AJENews: Obama vows 'more aggressive' Ebola monitoring in US; But govt allows nurse to fly despite signs of #Ebola infection: http://t.Ã¢â¬Â¦
326,916223535,False,finalized,4,3/24/2016 11:28:50,affected_people,0.7136,,'497086803803791360',RT @tnrockymom: #Yale #student who traveled 2 Liberia #hospitalized w/#Ebola symptoms: http://t.co/TtvtNOWrJc #lnyhbt#pjnet #tcot @CDCgov #Ã¢â¬Â¦
334,916224440,False,finalized,3,3/24/2016 20:34:07,affected_people,1.0,,'497087785933623296',"Inside the Ward Designed to Treat Ebola Patients: Deadly disease has infected more than 1,700 since March. http://t.co/GuE5IVcWO8"
345,916223470,False,finalized,5,3/24/2016 11:09:43,affected_people,0.42,,'497086706747994113',RT @yvngliberal: Ã¢â¬Å@MickeyDamage: Ann Coulter refers to Africa as Ã¢â¬Ådisease-ridden cesspoolÃ¢â¬Â in victim-blaming Ebola rant http://t.co/ql3emjtÃ¢â¬Â¦
359,916224141,False,finalized,3,3/24/2016 16:00:40,affected_people,0.6664,,'497087427090325504',RT @HarrietTorry: Woman shows symptoms of infectious disease in Berlin; Ebola virus feared http://t.co/Fnio1HtLGz via @WSJ
402,916223437,False,finalized,4,3/24/2016 11:28:50,affected_people,0.7136,,'497086663953506307',Ã¢â¬Å@10News: #BREAKING: Nurse finds no signs of #Ebola for Southwestern student: http://t.co/r3iMjTBG2a http://t.co/wi65M4doHkÃ¢â¬Â Ã°Å¸â¢ÅÃ°Å¸â¢Å
417,916224123,False,finalized,3,3/25/2016 10:04:54,affected_people,1.0,,'497087416096665600',"Ebola Epidemic 2014: 1,600+ cases reported. The largest outbreak in the history of Ebola.     Signs and sympto... http://t.co/zrNHGrMLpg"
445,916224786,False,finalized,3,3/25/2016 10:44:58,affected_people,1.0,,'497088124313694208',@GmrChkAdventure @PSN_Mikewarrior No..two Americans who caught Ebola in west Africa were brought to the US for treatment.
447,916223324,False,finalized,4,3/24/2016 11:51:42,affected_people,1.0,,'497086508382580736',RT @PopWrapped: ICYMI: #Ebola Strikes Again: Texas Nurse Tests Positive For Fatal Disease (STORY) http://t.co/Gcu8h2GHVy
454,916223639,False,finalized,4,3/24/2016 11:23:08,affected_people,0.5256,,'497086888256098304',RT @RT_com: BREAKING: Emergency in Madrid airport over patient with #Ebola symptoms on flight from Paris http://t.co/3s6eMlLunC
465,916223830,False,finalized,3,3/24/2016 17:03:06,affected_people,0.6841,,'497087112672710656',Nat'l Institutes of Health confirms that Dallas nurse Nina Pham will be moved tonight to NIH hospital in Maryland for #Ebola treatment.
466,916223232,False,finalized,5,3/24/2016 11:48:13,affected_people,0.414,,'497086394859524096',RT @News24: Canada quarantines man with Ebola symptoms http://t.co/sdXjiNzaGe
468,916223958,False,finalized,3,3/24/2016 15:58:30,affected_people,0.6757,,'497087240703840256',"RT @MobilePunch: Update: Four more Ebola patients discharged  Minister - Four more patients, who had been undergoing treatment for... http:Ã¢â¬Â¦"
474,916223722,False,finalized,3,3/24/2016 18:05:34,affected_people,0.6519,,'497086959165386753',#HNNHealth Nigeria's Dynamic Health Minister Onyebuchi Chukwu who contained #EBOLA here RESIGNS to... http://t.co/hfKVwqydBo
496,916224210,False,finalized,3,3/25/2016 11:47:52,affected_people,0.6543,,'497087516496101376',RT @Yahoo: CDC facing questions after Dallas #Ebola nurse says she checked with them before flying: http://t.co/NqsBlLJR6l http://t.co/CxzsÃ¢â¬Â¦
497,916224602,False,finalized,3,3/25/2016 07:50:11,affected_people,0.6777,,'497087967068819457',RT @RyanRuggiero: Mt Sinai:  The CDC has determined that the patient kept in isolation since has tested negative for Ebola Virus Disease
507,916224504,False,finalized,3,3/25/2016 09:49:11,affected_people,0.6216,,'497087874970685440',RT @jphdedieu: #Ebola patients have fully recovered in MSF treatment centres in Guinea &amp; Sierra Leone @MSF @MSF_uk http://t.co/uIVPOQVYBU
511,916223166,False,finalized,6,3/24/2016 11:45:03,affected_people,0.6624,,'497086319974416384',"RT @4mrgaoler: ""@Toronto_Trend: Brampton Civic hospital treating patient from Africa with Ebola-like symptoms http://t.co/f3kUOV7OLu""OH CRAÃ¢â¬Â¦"
514,916224538,False,finalized,3,3/25/2016 11:01:07,affected_people,0.6482,,'497087914065788928',RT: There's a patient in Canada with #Ebola-like symptoms http://t.co/1XUKrDJbVo
522,916224352,False,finalized,3,3/24/2016 16:51:55,affected_people,0.6765,,'497087662906286080',"RT @Pastoralist2: "" intensive community and health facility transmission patterns &amp; weak health systems in currently affected high risk couÃ¢â¬Â¦"
528,916224354,False,finalized,3,3/24/2016 17:04:18,affected_people,0.6464,,'497087664248455168',RT @muftimenk: The ebola outbreak in parts of Africa is serious. May the Almighty protect them and us all from disease. Aameen
541,916224793,False,finalized,3,3/25/2016 09:42:14,affected_people,0.3846,,'497088125999398912',RT @TracyABC13: 21-day isolation period almost over for Thomas Eric Duncan's family.  Family friend tells me they're showing no signs of viÃ¢â¬Â¦
548,916224770,False,finalized,3,3/25/2016 09:49:11,affected_people,1.0,,'497088117099077632',"RT @JLindgrenCBS11: #CDC just said that 2nd hosp. worker with #ebola should NOT have been on a plane, even before symptoms, b/c she treatedÃ¢â¬Â¦"
