,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
0,917599451,False,finalized,3,3/27/2016 10:07:44,affected_people,1.0,,'460411380357947392',2 Florida Health Workers Showing Symptoms After Exposure To MERS Patient http://t.co/XDIU6yojjK
5,917599543,False,finalized,4,3/27/2016 09:54:21,affected_people,1.0,,'460427436740460545',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/KUJub9QeZq
6,917600184,False,finalized,4,3/27/2016 13:04:07,affected_people,0.7409,,'460520125285027841',2 in Florida Show Symptoms of the Middle East Respiratory Syndrome (MERS) Virus http://t.co/PnuHBkMSOn
7,917599891,False,finalized,3,3/27/2016 12:56:15,affected_people,1.0,,'460473001629483008',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/qUYj4fwAPm
12,917600537,False,finalized,3,3/27/2016 19:34:42,affected_people,1.0,,'460563435571249152',RT @mashable: Forget Alec Baldwin! Two additional health care workers are showing symptoms of the deadly #MERS virus in U.S. http://t.co/YVÃ¢â¬Â¦
15,917600479,False,finalized,4,3/27/2016 17:47:32,affected_people,0.764,,'460562403189465088',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/K5WxUNVAiN
16,917600111,False,finalized,3,3/27/2016 17:21:00,affected_people,1.0,,'460512468625006593',"The 1st confirmed #MERS case in US, reminds us that we're only a plane away from disease. Hoping for the best for the patient and HCWs."
17,917600509,False,finalized,6,3/27/2016 12:28:20,affected_people,1.0,,'460562955034054656',"Newest US MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/qXMau8zDbT"
18,917600450,False,finalized,3,3/27/2016 17:34:36,affected_people,1.0,,'460561891874443264',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/cOYEA4dJVY
24,917600880,False,finalized,3,3/27/2016 20:38:08,affected_people,1.0,,'460583806466920448',RT @CBCAlerts: Centers for Disease Control reports first case of #MERS in the United States. #CDC
27,917601134,False,finalized,3,3/27/2016 19:11:03,affected_people,1.0,,'460634767458066432',"The first U.S. case of MERS-CoV has been reported in Indiana, the Centers for Disease Control and Prevention said Friday."
48,917600291,False,finalized,3,3/27/2016 17:34:36,affected_people,1.0,,'460535827916136448',Two more people in Florida show symptoms of deadly MERS virus: The World Health Organization held ... http://t.co/TuZ4e7Lmhx from @salon
50,917599744,False,finalized,4,3/27/2016 17:09:46,affected_people,0.513,,'460455637487333376',RT @RebeccaMorin_: Oh... Two Orlando health workers are showing symptoms after exposed to a #MERS patient: http://t.co/sCCbfiJsA0 http://t.Ã¢â¬Â¦
53,917600084,False,finalized,3,3/27/2016 12:55:52,affected_people,1.0,,'460508528512622593',RT @DrFriedenCDC: To date no #MERS found in people who had contact w/ 2 travelers with confirmed disease. Testing of contacts continues.
56,917600470,False,finalized,5,3/27/2016 12:25:42,affected_people,0.5981,,'460562228890988544',"Second U.S. case of MERS virus found in Florida, CDC says: Centers for Disease Control believes ... http://t.co/BG0w3aZjQf #MuhamadJabal"
61,917599391,False,finalized,4,3/27/2016 16:44:08,affected_people,0.7415,,'460404961533497344',First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease Control has confirmed that a case of the deadly Midd...
62,917599587,False,finalized,3,3/27/2016 09:56:09,affected_people,1.0,,'460431412467077120',RT @NBCNewsHealth: MERS Mystery: Disease Detectives Search for Infected Travelers http://t.co/hrNLOeKxr4
71,917599485,False,finalized,4,3/27/2016 10:17:11,affected_people,1.0,,'460417977050218496',RT @AlArabiya_Eng: #SaudiArabia finds another 32 #MERS cases as disease spreads http://t.co/GPVUyxNWKY #KSA #coronavirus
74,917601103,False,finalized,3,3/27/2016 21:30:16,affected_people,1.0,,'460628300759437312',"Second U.S. case of MERS virus found in Florida, CDC says: Centers for Disease Control believes this case, lik... http://t.co/3335CqFgvY"
75,917599329,False,finalized,3,3/27/2016 09:44:44,affected_people,0.6458,,'460396339978072064',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r"
86,917599445,False,finalized,3,3/27/2016 09:45:48,affected_people,0.6711,,'460410333753249792',dont bring that shit here RT @NBCLA: LA Co. residents who shared flight w/ MERS patient show no signs of having virus http://t.co/zd4bhqWKxQ
